model_id,source
SIDM00841,Sanger
SIDM01168,Sanger
SIDM01174,Broad
SIDM00833,Sanger
SIDM00832,Broad
SIDM01161,Broad
SIDM01084,Broad
SIDM01093,Broad
SIDM00322,Sanger
SIDM01184,Broad
SIDM00097,Sanger
SIDM00782,Sanger
SIDM01171,Sanger
SIDM00419,Sanger
SIDM01190,Broad
SIDM00369,Broad
SIDM00349,Sanger
SIDM00348,Broad
SIDM00250,Sanger
SIDM00347,Sanger
SIDM00328,Broad
SIDM00326,Sanger
SIDM00325,Sanger
SIDM00324,Sanger
SIDM01172,Broad
SIDM00040,Sanger
SIDM01170,Sanger
SIDM01169,Sanger
SIDM00321,Sanger
SIDM01193,Broad
SIDM01191,Broad
SIDM01185,Broad
SIDM00111,Sanger
SIDM00108,Broad
SIDM00107,Broad
SIDM01186,Sanger
SIDM01182,Broad
SIDM00815,Sanger
SIDM01077,Broad
SIDM00414,Broad
SIDM00320,Sanger
SIDM00318,Broad
SIDM01000,Broad
SIDM00973,Broad
SIDM00411,Broad
SIDM00316,Sanger
SIDM00315,Broad
SIDM00586,Broad
SIDM00574,Sanger
SIDM00573,Sanger
